entity,acu_dbu,user,order_number,original_order,trade_id,deal,trade_date,verification_date,fx_type,fx_trade,currency_pair,buy_currency,amount_buy,sell_currency,amount_sell,bp_id,bp_key,sg,domicile,bank,sector_user_id,sector_description,execution_country,order_country,business_date,id,dml_allowed,in_use,test_col1,test_col2,test_col3
,,userabc,58035853,,,Cancellation,01.09.16,01.09.16,"Forex Spot","Forex Spot: USD -8,252.91 (USD/CHF 0.972441)",USD/CHF,USD,9078.20,CHF,9078.20,"Secured Data",,OUT,,Non-Bank,4650,"Trusts where the beneficial holder is a natural person test",LI,,20160930,60,N,Y,NULL,NULL,NULL
,,,58035870,,,Cancellation,01.09.16,01.09.16,"Forex Spot","Forex Spot: CHF -8,025.47 (USD/CHF 0.98725000)",CHF/USD,CHF,8828.02,USD,8828.02,XXXXX,,OUT,,Bank,5200,"Banks and securities brokers (acc. to BO) (5200)",CH,,20160930,62,Y,Y,NULL,NULL,NULL
,,,58038602,,,Cancellation,01.09.16,01.09.16,"Forex Spot","Forex Spot: EUR -41,325.68 (EUR/CHF 1.095545)",EUR/CHF,EUR,45458.25,CHF,45458.25,"Secured Data",,OUT,,Non-Bank,1000,"Private households (1000)",LI,,20160930,126,Y,Y,NULL,NULL,NULL
,,,58038644,,,Cancellation,01.09.16,01.09.16,"Forex Spot","Forex Spot: CHF -45,398.12 (EUR/CHF 1.09854500)",CHF/EUR,CHF,49937.93,EUR,49937.93,XXXXX,,OUT,,Bank,5200,"Banks and securities brokers (acc. to BO) (5200)",CH,,20160930,129,N,Y,NULL,NULL,NULL
,,,58040836,,,Cancellation,01.09.16,01.09.16,"Forex Spot","Forex Spot: EUR 12,691.57 (EUR/CHF 1.09829400)",CHF/EUR,CHF,15332.99,EUR,15332.99,XXXXX,,OUT,,Bank,5200,"Banks and securities brokers (acc. to BO) (5200)",#CH,,20160930,158,Y,Y,NULL,NULL,NULL
,,,58040845,,,Cancellation,01.09.16,01.09.16,"Forex Spot","Forex Spot: CHF -15,315.64 (EUR/CHF 1.09802200)",CHF/EUR,CHF,16847.20,EUR,16847.20,XXXXX,,OUT,,Bank,5200,"Banks and securities brokers (acc. to BO) (5200)",#CH,,20160930,160,Y,Y,NULL,NULL,NULL
,,,58047332,,471527,Cancellation,01.09.16,01.09.16,"Forex Forward","Forex Forward:  (EUR/USD 1.12460000)",EUR/USD,EUR,978125.56,USD,978125.56,"Secured Data",,OUT,,Non-Bank,1000,"Private households (1000)",LI,,20160930,308,Y,Y,NULL,NULL,NULL
,,,58047525,,471528,Cancellation,01.09.16,01.09.16,"Forex Forward","Forex Forward:  (EUR/USD 1.12460000)",EUR/USD,EUR,978125.56,USD,978125.56,"Secured Data",,OUT,,Non-Bank,1000,"Private households (1000)",LI,,20160930,310,Y,Y,NULL,NULL,NULL
,,,58049477,,,Cancellation,01.09.16,01.09.16,"Forex Forward","Forex Forward:  (EUR/USD 1.12520000)",USD/EUR,USD,1100000.00,EUR,1100000.00,XXXXX,,OUT,,Bank,5200,"Banks and securities brokers (acc. to BO) (5200)",CH,,20160930,314,Y,Y,NULL,NULL,NULL
,,,58049490,,,Cancellation,01.09.16,01.09.16,"Forex Forward","Forex Forward:  (EUR/USD 1.12520000)",USD/EUR,USD,1100000.00,EUR,1100000.00,XXXXX,,OUT,,Bank,5200,"Banks and securities brokers (acc. to BO) (5200)",CH,,20160930,316,Y,Y,NULL,NULL,NULL
,,,58074588,,,Cancellation,02.09.16,02.09.16,"Forex Forward","Forex Forward:  (EUR/USD 1.118080)",EUR/USD,EUR,983829.42,USD,983829.42,"Secured Data",,OUT,,Non-Bank,1000,"Private households (1000)",LI,,20160930,636,Y,Y,NULL,NULL,NULL
,,,58074657,,,Cancellation,02.09.16,02.09.16,"Forex Forward","Forex Forward:  (EUR/USD 1.12020000)",USD/EUR,USD,1100000.00,EUR,1100000.00,XXXXX,,OUT,,Bank,5200,"Banks and securities brokers (acc. to BO) (5200)",CH,,20160930,638,Y,Y,NULL,NULL,NULL
,,,58074795,,,Cancellation,02.09.16,02.09.16,"Forex Forward","Forex Forward:  (EUR/USD 1.117200)",EUR/USD,EUR,984604.37,USD,984604.37,"Secured Data",,OUT,,Non-Bank,1000,"Private households (1000)",LI,,20160930,640,Y,Y,NULL,NULL,NULL
